Model,Noise Type_p_ε,Iter,RA(%),VT(s),RA(%),VT(s)
tfi4,mixed_0.01_0.001,i_0,51.09,0.0045,100.00,66.4946
tfi4,mixed_0.01_0.001,i_1,51.09,0.0019,100.00,32.8961
tfi4,mixed_0.01_0.001,i_2,51.09,0.0019,100.00,32.5226
tfi4,mixed_0.01_0.005,i_0,51.09,0.0145,100.00,34.8451
tfi4,mixed_0.01_0.005,i_1,51.09,0.0141,100.00,35.2614
tfi4,mixed_0.01_0.005,i_2,51.09,0.0149,100.00,34.8687
tfi4,mixed_0.05_0.005,i_0,51.09,0.0037,100.00,32.3851
tfi4,mixed_0.05_0.005,i_1,51.09,0.0019,100.00,34.7304
tfi4,mixed_0.05_0.005,i_2,51.09,0.0018,100.00,33.5990
tfi4,mixed_0.05_0.01,i_0,51.09,0.0040,100.00,49.4609
tfi4,mixed_0.05_0.01,i_1,51.09,0.0409,100.00,56.7995
tfi4,mixed_0.05_0.01,i_2,51.09,0.0018,100.00,31.6253

Model,Noise Type_p_ε,Iter,RA(%),VT(s),RA(%),VT(s)
qubit,depolarizing_0.001_0.001,i_0,64.12,0.0080,90.00,6.5640
qubit,depolarizing_0.001_0.001,i_1,74.12,0.0087,100.00,4.3674
qubit,depolarizing_0.001_0.001,i_2,74.12,0.0078,100.00,5.7302
qubit,depolarizing_0.001_0.0005,i_0,83.12,0.0039,99.88,1.8148
qubit,depolarizing_0.001_0.0005,i_1,83.25,0.0038,100.00,1.7962
qubit,depolarizing_0.001_0.0005,i_2,83.25,0.0038,100.00,1.8776
mnist13,*_*_0.003,i_0,93.80,0.0284,96.00,10.3136
mnist13,*_*_0.003,i_1,97.80,0.0357,100.00,3.7852
mnist13,*_*_0.003,i_2,97.80,0.0375,100.00,3.7809
mnist13,*_*_0.001,i_0,96.50,0.0431,97.90,5.8457
mnist13,*_*_0.001,i_1,98.60,0.0382,100.00,2.3626
mnist13,*_*_0.001,i_2,98.60,0.0319,100.00,2.3466
mnist13,*_*_0.0001,i_0,99.10,0.0333,99.30,1.4599
mnist13,*_*_0.0001,i_1,99.80,0.0274,100.00,0.3412
mnist13,*_*_0.0001,i_2,99.80,0.0281,100.00,0.3410

tfi4,mixed_0.01_0.001,i_0,94.53,0.0038,100.00,2.0405
tfi4,mixed_0.01_0.001,i_1,94.53,0.0091,100.00,2.5828
tfi4,mixed_0.01_0.001,i_2,94.53,0.0091,100.00,2.3464
tfi4,mixed_0.01_0.005,i_0,86.41,0.0039,100.00,4.8726
tfi4,mixed_0.01_0.005,i_1,86.41,0.0089,100.00,5.7480
tfi4,mixed_0.01_0.005,i_2,86.41,0.0087,100.00,5.7514
tfi4,mixed_0.05_0.005,i_0,86.41,0.0094,100.00,3.8219
tfi4,mixed_0.05_0.005,i_1,86.41,0.0041,100.00,3.5382
tfi4,mixed_0.05_0.005,i_2,86.41,0.0045,100.00,3.5653
tfi4,mixed_0.05_0.01,i_0,80.62,0.0037,100.00,5.5117
tfi4,mixed_0.05_0.01,i_1,80.62,0.0038,100.00,4.9875
tfi4,mixed_0.05_0.01,i_2,80.62,0.0041,100.00,6.8362
tfi8,bit-flip_0.01_0.001,i_0,98.44,5.6393,100.00,24.5930
tfi8,bit-flip_0.01_0.001,i_1,98.44,0.0298,100.00,1.3603
tfi8,bit-flip_0.01_0.001,i_2,98.44,0.0227,100.00,1.3673
tfi8,bit-flip_0.01_0.01,i_0,90.62,0.0278,100.00,11.0533
tfi8,bit-flip_0.01_0.01,i_1,90.62,0.0237,100.00,24.9597
tfi8,bit-flip_0.01_0.01,i_2,90.62,0.0752,100.00,43.2116
tfi8,bit-flip_0.05_0.005,i_0,94.22,0.2193,100.00,29.9192
tfi8,bit-flip_0.05_0.005,i_1,94.22,0.0472,100.00,13.8676
tfi8,bit-flip_0.05_0.005,i_2,94.22,0.0265,100.00,20.8286
tfi8,bit-flip_0.05_0.01,i_0,90.62,0.0496,100.00,26.1849
tfi8,bit-flip_0.05_0.01,i_1,90.62,0.1912,100.00,47.6522
tfi8,bit-flip_0.05_0.01,i_2,90.62,0.0212,100.00,8.8142

Model,Noise Type_p_ε,Circuit,Iter,RA(%),VT(s),RA(%),VT(s)
fashion8,bit-flip_0.01_0.001,c_2,i_0,56.50,6.2588,56.50,840.3216
fashion8,bit-flip_0.01_0.001,c_2,i_1,100.00,5.8796,100.00,5.8797
fashion8,bit-flip_0.01_0.001,c_2,i_2,100.00,1.7381,100.00,1.7387
fashion8,bit-flip_0.05_0.001,c_2,i_0,56.50,5.0667,56.50,499.8746
fashion8,bit-flip_0.05_0.001,c_2,i_1,100.00,0.1241,100.00,0.1242
fashion8,bit-flip_0.05_0.001,c_2,i_2,100.00,0.1172,100.00,0.1174

fashion8,bit-flip_0.01_0.001,c_0,i_0,90.60,0.0572,97.40,20.0150
fashion8,bit-flip_0.01_0.001,c_0,i_1,97.40,0.0287,97.40,5.0659
fashion8,bit-flip_0.01_0.001,c_0,i_2,97.40,0.0292,97.40,5.3177
fashion8,bit-flip_0.01_0.001,c_1,i_0,53.90,0.1645,53.90,508.6841
fashion8,bit-flip_0.01_0.001,c_1,i_1,97.40,0.2113,97.40,29.5933
fashion8,bit-flip_0.01_0.001,c_1,i_2,97.40,0.2291,97.40,30.6168
fashion8,bit-flip_0.01_0.001,c_2,i_0,100.00,0.2172,100.00,0.2172
fashion8,bit-flip_0.01_0.001,c_2,i_1,100.00,0.2118,100.00,0.2118
fashion8,bit-flip_0.01_0.001,c_2,i_2,100.00,0.3414,100.00,0.3415
fashion8,bit-flip_0.05_0.001,c_0,i_0,90.60,0.0403,97.40,26.1056
fashion8,bit-flip_0.05_0.001,c_0,i_1,97.40,0.0313,97.40,5.6456
fashion8,bit-flip_0.05_0.001,c_0,i_2,97.40,0.7682,97.40,6.7191
fashion8,bit-flip_0.05_0.001,c_1,i_0,53.90,0.2716,53.90,515.7438
fashion8,bit-flip_0.05_0.001,c_1,i_1,97.40,0.6541,97.40,26.2233
fashion8,bit-flip_0.05_0.001,c_1,i_2,97.40,0.2486,97.40,32.5166
fashion8,bit-flip_0.05_0.001,c_2,i_0,100.00,0.2971,100.00,0.2971
fashion8,bit-flip_0.05_0.001,c_2,i_1,100.00,1.1870,100.00,1.1871
fashion8,bit-flip_0.05_0.001,c_2,i_2,100.00,0.1940,100.00,0.1941

