Model,Îµ,Circuit,Iter,RA(%),VT(s),RA(%),VT(s)
qubit,0.001,c_0,i_0,88.12,0.0038,90.00,1.2361
qubit,0.001,c_0,i_1,98.12,0.0036,100.00,0.1946
qubit,0.001,c_1,i_0,88.12,0.0040,90.00,1.2526
qubit,0.001,c_1,i_1,98.12,0.0040,100.00,0.1986
qubit,0.001,c_2 (depolarizing_0.001),i_0,88.00,0.0039,90.00,1.2382
qubit,0.001,c_2 (depolarizing_0.001),i_1,98.00,0.0037,100.00,0.2093
qubit,0.001,c_2 (depolarizing_0.005),i_0,87.62,0.0039,90.00,1.3099
qubit,0.001,c_2 (depolarizing_0.005),i_1,97.62,0.0037,100.00,0.2495
iris,0.005,c_0,i_0,98.75,0.0009,100.00,0.3095
iris,0.005,c_0,i_1,98.75,0.0009,100.00,0.2414
iris,0.005,c_1,i_0,90.00,0.0009,100.00,11.7396
iris,0.005,c_1,i_1,90.00,0.0009,100.00,11.7002
iris,0.005,c_2 (depolarizing_0.01),i_0,88.75,0.0021,100.00,11.9533
iris,0.005,c_2 (depolarizing_0.01),i_1,88.75,0.0020,100.00,11.9292
iris,0.005,c_2 (depolarizing_0.05),i_0,87.50,0.0020,100.00,11.8447
iris,0.005,c_2 (depolarizing_0.05),i_1,87.50,0.0020,100.00,11.8469
tfi4,0.005,c_0,i_0,86.41,0.0057,100.00,3.3353
tfi4,0.005,c_0,i_1,86.41,0.0037,100.00,3.2867
tfi4,0.005,c_1,i_0,86.72,0.0039,100.00,3.1756
tfi4,0.005,c_1,i_1,86.72,0.0037,100.00,3.1729
tfi4,0.005,c_2 (mixed_0.01),i_0,86.56,0.0050,100.00,3.2110
tfi4,0.005,c_2 (mixed_0.01),i_1,86.56,0.0048,100.00,3.2009
tfi4,0.005,c_2 (mixed_0.05),i_0,85.94,0.0050,100.00,3.3284
tfi4,0.005,c_2 (mixed_0.05),i_1,85.94,0.0049,100.00,3.3316
tfi8,0.001,c_0,i_0,98.44,0.0491,100.00,1.1297
tfi8,0.001,c_0,i_1,98.44,0.0241,100.00,1.3258
tfi8,0.001,c_1,i_0,98.44,0.0293,100.00,1.2917
tfi8,0.001,c_1,i_1,98.44,0.0359,100.00,1.3346
tfi8,0.001,c_2 (bit-flip_0.01),i_0,98.44,2.6969,100.00,4.0253
tfi8,0.001,c_2 (bit-flip_0.01),i_1,98.44,2.8572,100.00,3.8636
tfi8,0.001,c_2 (bit-flip_0.05),i_0,98.12,2.4953,100.00,4.0867
tfi8,0.001,c_2 (bit-flip_0.05),i_1,98.12,3.5286,100.00,5.3595
fashion8,0.001,c_0,i_0,90.60,0.0396,97.40,12.5982
fashion8,0.001,c_0,i_1,93.20,0.0293,100.00,8.9481
fashion8,0.001,c_0,i_2,93.20,0.0321,100.00,8.9963
fashion8,0.001,c_1,i_0,91.20,0.0776,99.80,11.6105
fashion8,0.001,c_1,i_1,91.40,0.0791,100.00,11.6148
fashion8,0.001,c_1,i_2,91.40,0.0864,100.00,11.6128
fashion8,0.001,c_2 (bit-flip_0.01),i_0,91.10,11.1430,99.90,23.0939
fashion8,0.001,c_2 (bit-flip_0.01),i_1,91.20,10.4435,100.00,22.0463
fashion8,0.001,c_2 (bit-flip_0.01),i_2,91.20,10.1859,100.00,21.8253
fashion8,0.001,c_2 (bit-flip_0.05),i_0,89.30,10.5767,99.90,24.6144
fashion8,0.001,c_2 (bit-flip_0.05),i_1,89.40,10.9978,100.00,25.0012
fashion8,0.001,c_2 (bit-flip_0.05),i_2,89.40,10.8572,100.00,25.2056
mnist13,0.003,c_0,i_0,93.80,0.0442,96.00,11.7586
mnist13,0.003,c_0,i_1,98.30,0.0324,98.80,2.8040
mnist13,0.003,c_0,i_2,98.30,0.0289,98.80,2.7473
mnist13,0.003,c_1,i_0,94.80,0.1777,97.00,10.2659
mnist13,0.003,c_1,i_1,96.60,0.2010,98.80,6.0188
mnist13,0.003,c_1,i_2,96.60,0.1888,98.80,5.9042
mnist13,0.003,c_2 (phase-flip_0.001),i_0,97.80,32.5592,100.00,36.3145
mnist13,0.003,c_2 (phase-flip_0.001),i_1,97.80,35.7281,100.00,39.6876
mnist13,0.003,c_2 (phase-flip_0.001),i_2,97.80,37.5536,100.00,40.7802
mnist13,0.003,c_2 (phase-flip_0.01),i_0,97.80,35.5921,100.00,39.4442
mnist13,0.003,c_2 (phase-flip_0.01),i_1,97.80,37.2426,100.00,41.0714
mnist13,0.003,c_2 (phase-flip_0.01),i_2,97.80,38.0989,100.00,41.7879
